collection_batch,regime,run_name,horizon_events,n_observations,mean_return_bps,mean_abs_return_bps,median_abs_return_bps,share_abs_return_ge_0_5bps,share_abs_return_ge_1_0bps,share_abs_return_ge_2_0bps
weekday_active_wed_day29,Wednesday Day 29,20260708_194153,100,2816,-0.9392421375155213,2.8016095292423775,1.5847232677002054,0.7972301136363636,0.6665482954545454,0.44566761363636365
weekday_active_wed_day29,Wednesday Day 29,20260708_194708,10,2905,0.00936588659365653,0.5555607796629514,0.2915624263488681,0.41549053356282273,0.2206540447504303,0.05129087779690189
weekday_active_wed_day29,Wednesday Day 29,20260708_194708,20,2895,0.01907285701286765,0.9514121827683478,0.7119746860628773,0.598272884283247,0.39792746113989635,0.13298791018998274
weekday_active_wed_day29,Wednesday Day 29,20260708_194708,50,2865,0.04754245468055586,1.7258461137544574,1.3913527427034111,0.7884816753926701,0.5989528795811518,0.36509598603839444
weekday_active_wed_day29,Wednesday Day 29,20260708_194708,100,2815,0.13321503580381983,2.4581765894250713,2.087329666213833,0.8845470692717584,0.7900532859680284,0.5207815275310835
weekday_active_wed_day29,Wednesday Day 29,20260708_195223,10,2905,0.07179495099075331,0.7950481250408629,0.4847814968600428,0.49707401032702236,0.27228915662650605,0.08055077452667814
weekday_active_wed_day29,Wednesday Day 29,20260708_195223,20,2895,0.1345711921970099,1.2788730489795563,0.7911730917187221,0.6625215889464594,0.4072538860103627,0.17236614853195165
weekday_active_wed_day29,Wednesday Day 29,20260708_195223,50,2865,0.30152075405831474,2.2917735444461096,1.4364349299000878,0.7975567190226877,0.6202443280977312,0.38848167539267014
weekday_active_wed_day29,Wednesday Day 29,20260708_195223,100,2815,0.5671732560730282,3.522475268340237,2.2817915462058913,0.8788632326820603,0.7502664298401421,0.5481349911190053
weekday_active_wed_day29,Wednesday Day 29,20260708_195736,10,2905,-0.010422014661981501,0.38148536723580684,0.0,0.2798623063683305,0.13907056798623063,0.038898450946643716
weekday_active_wed_day29,Wednesday Day 29,20260708_195736,20,2895,-0.0269011566978957,0.6570299109065922,0.40396173351275877,0.43937823834196893,0.25077720207253884,0.08877374784110535
weekday_active_wed_day29,Wednesday Day 29,20260708_195736,50,2865,-0.08076123617863243,1.241834253890703,0.8404848627874273,0.6401396160558465,0.46038394415357764,0.24642233856893542
weekday_active_wed_day29,Wednesday Day 29,20260708_195736,100,2815,-0.19934094750793774,1.8206554508132688,1.2945643669537432,0.7555950266429841,0.5712255772646536,0.3921847246891652
weekday_active_wed_day29,Wednesday Day 29,20260708_200251,10,2906,-0.036211372363943374,0.358457000146817,0.0,0.28458362009635235,0.14246386785960083,0.027873365450791467
weekday_active_wed_day29,Wednesday Day 29,20260708_200251,20,2896,-0.07638869283409372,0.6319004900509417,0.3237448210946514,0.46443370165745856,0.2662292817679558,0.0718232044198895
weekday_active_wed_day29,Wednesday Day 29,20260708_200251,50,2866,-0.2367603887900372,1.197676904235816,0.7932634128304805,0.6730635031402652,0.46545708304256805,0.22854152128401953
weekday_active_wed_day29,Wednesday Day 29,20260708_200251,100,2816,-0.48698859319804383,2.044562089284331,1.7804351221584191,0.7894176136363636,0.6512784090909091,0.4275568181818182
weekday_active_wed_day29,Wednesday Day 29,20260708_200805,10,2906,-0.028529698512248746,0.4409887017189002,0.10535036062686576,0.34583620096352374,0.1445285615966965,0.030626290433585685
