evaluation_method,model,cost_scenario,round_trip_cost_bps,n_trades_or_episodes,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share
episode_first_signal,hist_gradient_boosting_dynamic_full,very_low_cost,1.0,13,2.5367301128967985,1.5367301128967985,1.568628005314988,0.7692307692307693
episode_first_signal,hist_gradient_boosting_dynamic_full,low_cost,2.0,13,2.5367301128967985,0.5367301128967986,0.5686280053149879,0.6153846153846154
episode_first_signal,hist_gradient_boosting_dynamic_full,medium_cost,3.0,13,2.5367301128967985,-0.4632698871032014,-0.4313719946850121,0.46153846153846156
episode_first_signal,hist_gradient_boosting_dynamic_full,near_best_raw_edge,3.5,13,2.5367301128967985,-0.9632698871032014,-0.9313719946850121,0.38461538461538464
episode_first_signal,hist_gradient_boosting_dynamic_full,high_cost,4.0,13,2.5367301128967985,-1.4632698871032015,-1.431371994685012,0.07692307692307693
episode_first_signal,hist_gradient_boosting_dynamic_full,expensive_taker_like,5.0,13,2.5367301128967985,-2.4632698871032015,-2.431371994685012,0.07692307692307693
episode_first_signal,hist_gradient_boosting_dynamic_full,very_expensive_round_trip,9.0,13,2.5367301128967985,-6.463269887103201,-6.431371994685012,0.07692307692307693
episode_first_signal,hist_gradient_boosting_static_full,no_cost,0.0,10,1.549999016454029,1.549999016454029,1.1145343461704815,0.8
episode_first_signal,hist_gradient_boosting_static_full,very_low_cost,1.0,10,1.549999016454029,0.5499990164540289,0.11453434617048153,0.5
episode_first_signal,hist_gradient_boosting_static_full,low_cost,2.0,10,1.549999016454029,-0.45000098354597107,-0.8854656538295185,0.4
episode_first_signal,hist_gradient_boosting_static_full,medium_cost,3.0,10,1.549999016454029,-1.450000983545971,-1.8854656538295185,0.4
episode_first_signal,hist_gradient_boosting_static_full,near_best_raw_edge,3.5,10,1.549999016454029,-1.950000983545971,-2.3854656538295185,0.3
episode_first_signal,hist_gradient_boosting_static_full,high_cost,4.0,10,1.549999016454029,-2.450000983545971,-2.8854656538295185,0.1
episode_first_signal,hist_gradient_boosting_static_full,expensive_taker_like,5.0,10,1.549999016454029,-3.4500009835459706,-3.8854656538295185,0.1
episode_first_signal,hist_gradient_boosting_static_full,very_expensive_round_trip,9.0,10,1.549999016454029,-7.450000983545971,-7.8854656538295185,0.0
episode_first_signal,lightgbm_dynamic_compact,no_cost,0.0,9,2.793947652384906,2.793947652384906,2.7474902888335877,0.8888888888888888
episode_first_signal,lightgbm_dynamic_compact,very_low_cost,1.0,9,2.793947652384906,1.7939476523849056,1.7474902888335877,0.7777777777777778
episode_first_signal,lightgbm_dynamic_compact,low_cost,2.0,9,2.793947652384906,0.7939476523849057,0.7474902888335877,0.5555555555555556
episode_first_signal,lightgbm_dynamic_compact,medium_cost,3.0,9,2.793947652384906,-0.2060523476150943,-0.2525097111664123,0.4444444444444444
episode_first_signal,lightgbm_dynamic_compact,near_best_raw_edge,3.5,9,2.793947652384906,-0.7060523476150943,-0.7525097111664123,0.4444444444444444
episode_first_signal,lightgbm_dynamic_compact,high_cost,4.0,9,2.793947652384906,-1.2060523476150944,-1.2525097111664123,0.2222222222222222
episode_first_signal,lightgbm_dynamic_compact,expensive_taker_like,5.0,9,2.793947652384906,-2.206052347615094,-2.2525097111664123,0.1111111111111111
episode_first_signal,lightgbm_dynamic_compact,very_expensive_round_trip,9.0,9,2.793947652384906,-6.206052347615095,-6.252509711166413,0.1111111111111111
episode_first_signal,lightgbm_dynamic_full,no_cost,0.0,9,1.585589363569426,1.585589363569426,1.1629155909020916,0.7777777777777778
episode_first_signal,lightgbm_dynamic_full,very_low_cost,1.0,9,1.585589363569426,0.585589363569426,0.16291559090209162,0.5555555555555556
episode_first_signal,lightgbm_dynamic_full,low_cost,2.0,9,1.585589363569426,-0.41441063643057396,-0.8370844090979084,0.3333333333333333
episode_first_signal,lightgbm_dynamic_full,medium_cost,3.0,9,1.585589363569426,-1.414410636430574,-1.8370844090979084,0.3333333333333333
episode_first_signal,lightgbm_dynamic_full,near_best_raw_edge,3.5,9,1.585589363569426,-1.9144106364305742,-2.3370844090979084,0.3333333333333333
episode_first_signal,lightgbm_dynamic_full,high_cost,4.0,9,1.585589363569426,-2.414410636430574,-2.8370844090979084,0.1111111111111111
episode_first_signal,lightgbm_dynamic_full,expensive_taker_like,5.0,9,1.585589363569426,-3.4144106364305737,-3.8370844090979084,0.1111111111111111
episode_first_signal,lightgbm_dynamic_full,very_expensive_round_trip,9.0,9,1.585589363569426,-7.414410636430574,-7.837084409097908,0.1111111111111111
episode_first_signal,logit_dynamic_compact,no_cost,0.0,22,1.4380615617206405,1.4380615617206405,1.9144641916757354,0.7272727272727273
episode_first_signal,logit_dynamic_compact,very_low_cost,1.0,22,1.4380615617206405,0.43806156172064026,0.9144641916757354,0.5909090909090909
episode_first_signal,logit_dynamic_compact,low_cost,2.0,22,1.4380615617206405,-0.5619384382793599,-0.08553580832426455,0.5
episode_first_signal,logit_dynamic_compact,medium_cost,3.0,22,1.4380615617206405,-1.56193843827936,-1.0855358083242646,0.36363636363636365
