model,threshold,cost_scenario,round_trip_cost_bps,signal_group,n_signals,coverage,gross_mean_signed_return_bps,net_mean_signed_return_bps,net_median_signed_return_bps,net_positive_share,gross_positive_share,mean_future_return_bps
logit_full,0.65,moderate_cost,2.0,down,414,0.345,0.20987614999607557,-1.7901238500039245,-1.4513383969901854,0.07004830917874397,0.6400966183574879,-0.20987614999607557
logit_full,0.65,expensive_taker_like,5.0,down,414,0.345,0.20987614999607557,-4.7901238500039245,-4.451338396990185,0.0,0.6400966183574879,-0.20987614999607557
logit_full,0.65,very_expensive_round_trip,9.0,down,414,0.345,0.20987614999607557,-8.790123850003924,-8.451338396990185,0.0,0.6400966183574879,-0.20987614999607557
logit_full,0.65,no_cost,0.0,up,456,0.38,0.4271601148057638,0.4271601148057638,0.6134469805485487,0.7302631578947368,0.7302631578947368,0.4271601148057638
logit_full,0.65,very_optimistic_passive_like,0.5,up,456,0.38,0.4271601148057638,-0.07283988519423618,0.11344698054854874,0.5526315789473685,0.7302631578947368,0.4271601148057638
logit_full,0.65,optimistic_low_cost,1.0,up,456,0.38,0.4271601148057638,-0.5728398851942362,-0.38655301945145126,0.3092105263157895,0.7302631578947368,0.4271601148057638
logit_full,0.65,moderate_cost,2.0,up,456,0.38,0.4271601148057638,-1.572839885194236,-1.3865530194514513,0.09868421052631579,0.7302631578947368,0.4271601148057638
logit_full,0.65,expensive_taker_like,5.0,up,456,0.38,0.4271601148057638,-4.572839885194236,-4.386553019451451,0.017543859649122806,0.7302631578947368,0.4271601148057638
logit_full,0.65,very_expensive_round_trip,9.0,up,456,0.38,0.4271601148057638,-8.572839885194236,-8.386553019451451,0.0,0.7302631578947368,0.4271601148057638
logit_full,0.7,no_cost,0.0,both,724,0.6033333333333334,0.37331887497058835,0.37331887497058835,0.5810626829449994,0.7044198895027625,0.7044198895027625,0.10159931572087803
logit_full,0.7,very_optimistic_passive_like,0.5,both,724,0.6033333333333334,0.37331887497058835,-0.12668112502941167,0.08106268294499941,0.5538674033149171,0.7044198895027625,0.10159931572087803
