feature_set,horizon,feature,standardized_coefficient,abs_standardized_coefficient
combined,20,trade_count_rolling_sum_20e,0.010452545993170533,0.010452545993170533
combined,20,signed_trade_volume_rolling_sum_5e,-0.008156895019783774,0.008156895019783774
combined,20,trade_intensity_per_second,0.008041583765449131,0.008041583765449131
combined,20,trade_imbalance,-0.007370818906831966,0.007370818906831966
combined,20,notional_imbalance,-0.007153799943245282,0.007153799943245282
combined,20,buy_trade_notional,-0.0047710731980555605,0.0047710731980555605
combined,20,notional_imbalance_rolling_5e,0.0028633090953770735,0.0028633090953770735
combined,20,trade_imbalance_rolling_5e,0.002674364333260194,0.002674364333260194
book_only,50,imbalance_1,3.03099258399838,3.03099258399838
book_only,50,imbalance_5,-1.4663427326856349,1.4663427326856349
book_only,50,ask_depth_5,-0.5336481097330532,0.5336481097330532
book_only,50,bid_depth_5,0.47898559512610756,0.47898559512610756
book_only,50,best_ask_qty,0.4674720846631302,0.4674720846631302
book_only,50,best_bid_qty,-0.28853106625131286,0.28853106625131286
book_only,50,imbalance_10,-0.2534324747357596,0.2534324747357596
book_only,50,microprice_deviation_bps,-0.246125560495441,0.246125560495441
book_only,50,spread_bps,0.19623902734206916,0.19623902734206916
book_only,50,ask_depth_10,-0.06410081495782075,0.06410081495782075
book_only,50,event_gap_ms,-0.022545654332358913,0.022545654332358913
book_only,50,bid_depth_10,0.00578178118940216,0.00578178118940216
book_only,50,quote_changed,-0.0045518947095009215,0.0045518947095009215
book_only,50,transaction_lag_ms,-0.0023634282343707475,0.0023634282343707475
trade_flow_only,50,trade_intensity_rolling_mean_50e,-2.350988120584,2.350988120584
trade_flow_only,50,trade_count_rolling_sum_50e,2.240280072530607,2.240280072530607
trade_flow_only,50,trade_intensity_rolling_mean_10e,-0.5205852626970788,0.5205852626970788
trade_flow_only,50,trade_intensity_rolling_mean_5e,-0.30110150987350504,0.30110150987350504
trade_flow_only,50,trade_count_rolling_sum_10e,0.294215326460455,0.294215326460455
trade_flow_only,50,trade_count_rolling_sum_5e,0.19488286677302924,0.19488286677302924
trade_flow_only,50,trade_count_rolling_sum_20e,0.18575240371512064,0.18575240371512064
trade_flow_only,50,trade_volume_rolling_sum_50e,0.18431184950663215,0.18431184950663215
trade_flow_only,50,notional_imbalance_rolling_50e,0.15809991694158737,0.15809991694158737
trade_flow_only,50,trade_imbalance_rolling_50e,0.1526880280101116,0.1526880280101116
trade_flow_only,50,signed_trade_volume_rolling_sum_50e,-0.14765820759786474,0.14765820759786474
trade_flow_only,50,trade_notional_rolling_sum_20e,-0.14675177201876868,0.14675177201876868
trade_flow_only,50,trade_notional_rolling_sum_50e,0.12979639566304663,0.12979639566304663
trade_flow_only,50,trade_volume_rolling_sum_10e,0.1261672188734922,0.1261672188734922
trade_flow_only,50,notional_imbalance_rolling_20e,0.110801170885974,0.110801170885974
trade_flow_only,50,trade_imbalance_rolling_20e,0.10981239200728564,0.10981239200728564
trade_flow_only,50,signed_trade_notional_rolling_sum_20e,0.10238512031964322,0.10238512031964322
