fold,model,algorithm,feature_set,threshold,validation_raw_signals,validation_cooldown_trades,validation_precision,validation_mean_signed_return_bps,validation_positive_signed_return_share,meets_min_trades
6,logit_dynamic_compact,logit,dynamic_compact,0.7,28,9,0.8888888888888888,2.964787678942926,0.8888888888888888,True
6,logit_dynamic_compact,logit,dynamic_compact,0.75,10,3,0.3333333333333333,-2.2246868609358352,0.3333333333333333,False
6,logit_dynamic_compact,logit,dynamic_compact,0.8,8,2,0.0,-4.116027194681626,0.0,False
6,logit_dynamic_compact,logit,dynamic_compact,0.85,5,1,0.0,-7.805586629490158,0.0,False
6,logit_dynamic_compact,logit,dynamic_compact,0.9,3,1,0.0,-7.805586629490158,0.0,False
6,logit_dynamic_compact,logit,dynamic_compact,0.95,1,1,0.0,-7.805586629490158,0.0,False
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.55,4793,111,0.5405405405405406,0.34950550197107155,0.5405405405405406,True
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.6,3837,107,0.5420560747663551,0.311045589067188,0.5420560747663551,True
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.65,3021,98,0.5306122448979592,0.27381197997598833,0.5306122448979592,True
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.7,2195,77,0.5714285714285714,0.29656013244176155,0.5714285714285714,True
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.75,896,63,0.5079365079365079,0.5184045445844847,0.5079365079365079,True
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.8,107,28,0.7142857142857143,1.2635939241165128,0.7142857142857143,True
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.85,1,1,1.0,1.687356271911078,1.0,False
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.9,0,0,,,,False
6,lightgbm_dynamic_compact,lightgbm,dynamic_compact,0.95,0,0,,,,False
6,xgboost_dynamic_full,xgboost,dynamic_full,0.55,4914,112,0.5625,0.42179711316943164,0.5625,True
6,xgboost_dynamic_full,xgboost,dynamic_full,0.6,3927,108,0.5277777777777778,0.521247328103958,0.5277777777777778,True
6,xgboost_dynamic_full,xgboost,dynamic_full,0.65,3162,98,0.5102040816326531,0.1869942049603892,0.5102040816326531,True
6,xgboost_dynamic_full,xgboost,dynamic_full,0.7,2790,83,0.5662650602409639,0.36883730185553526,0.5662650602409639,True
6,xgboost_dynamic_full,xgboost,dynamic_full,0.75,2660,69,0.5362318840579711,0.29069403116376763,0.5362318840579711,True
6,xgboost_dynamic_full,xgboost,dynamic_full,0.8,1948,60,0.5166666666666667,0.05798641806670224,0.5166666666666667,True
6,xgboost_dynamic_full,xgboost,dynamic_full,0.85,186,38,0.5263157894736842,-0.3927435331839935,0.5263157894736842,True
6,xgboost_dynamic_full,xgboost,dynamic_full,0.9,0,0,,,,False
6,xgboost_dynamic_full,xgboost,dynamic_full,0.95,0,0,,,,False
