model,algorithm,feature_set,feature,importance,abs_importance,importance_type
logit_dynamic_compact,logit,dynamic_compact,best_bid_qty_change_1e,0.003495000027898122,0.003495000027898122,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_lag_10e,0.0008599399477011855,0.0008599399477011855,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_rolling_mean_5e,0.0005683103678792169,0.0005683103678792169,coefficient
logit_dynamic_compact,logit,dynamic_compact,mid_return_bps_rolling_mean_10e,-0.00019239261145987676,0.00019239261145987676,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_5,-0.8781639652921258,0.8781639652921258,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_1,0.8239232789951975,0.8239232789951975,coefficient
logit_dynamic_full,logit,dynamic_full,ask_depth_10,0.6009186975200281,0.6009186975200281,coefficient
logit_dynamic_full,logit,dynamic_full,ask_depth_5,-0.5396577114027286,0.5396577114027286,coefficient
logit_dynamic_full,logit,dynamic_full,best_ask_qty,-0.3754130559322537,0.3754130559322537,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_5_rolling_mean_10e,-0.36788516013048134,0.36788516013048134,coefficient
logit_dynamic_full,logit,dynamic_full,microprice_deviation_bps_rolling_mean_10e,0.29584011181028547,0.29584011181028547,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_10,0.24512936964191925,0.24512936964191925,coefficient
logit_dynamic_full,logit,dynamic_full,spread_bps_rolling_mean_10e,0.2221915776091015,0.2221915776091015,coefficient
logit_dynamic_full,logit,dynamic_full,microprice_deviation_bps,0.16837276434747622,0.16837276434747622,coefficient
logit_dynamic_full,logit,dynamic_full,microprice_deviation_bps_change_10e,-0.1365031228010234,0.1365031228010234,coefficient
logit_dynamic_full,logit,dynamic_full,best_ask_qty_change_1e,0.13451004034023764,0.13451004034023764,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_rolling_std_10e,-0.12913618530982415,0.12913618530982415,coefficient
logit_dynamic_full,logit,dynamic_full,quote_changed_rolling_sum_5e,-0.12163230691600617,0.12163230691600617,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_5_change_10e,0.1181687027985302,0.1181687027985302,coefficient
logit_dynamic_full,logit,dynamic_full,event_gap_ms,-0.11010349145798165,0.11010349145798165,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_rolling_std_5e,0.09544755937480377,0.09544755937480377,coefficient
logit_dynamic_full,logit,dynamic_full,quote_changed_rolling_sum_10e,0.09246933117461605,0.09246933117461605,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_5_change_5e,-0.0905720912400909,0.0905720912400909,coefficient
logit_dynamic_full,logit,dynamic_full,spread_bps_rolling_mean_5e,-0.0891826362176959,0.0891826362176959,coefficient
logit_dynamic_full,logit,dynamic_full,spread_bps_change_1e,0.08882869356475877,0.08882869356475877,coefficient
logit_dynamic_full,logit,dynamic_full,bid_depth_5,0.0887132203584761,0.0887132203584761,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_5_rolling_mean_5e,-0.08696229469433572,0.08696229469433572,coefficient
logit_dynamic_full,logit,dynamic_full,spread_bps_change_5e,0.07415675824116688,0.07415675824116688,coefficient
logit_dynamic_full,logit,dynamic_full,microprice_deviation_bps_change_1e,0.06422859694005445,0.06422859694005445,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_rolling_mean_10e,0.05214226758102988,0.05214226758102988,coefficient
logit_dynamic_full,logit,dynamic_full,best_bid_qty,-0.046653202759824576,0.046653202759824576,coefficient
logit_dynamic_full,logit,dynamic_full,quote_changed,-0.03920094136990274,0.03920094136990274,coefficient
logit_dynamic_full,logit,dynamic_full,microprice_deviation_bps_change_5e,0.038073209712683576,0.038073209712683576,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_lag_1e,-0.0370794724246713,0.0370794724246713,coefficient
logit_dynamic_full,logit,dynamic_full,ask_depth_5_change_1e,-0.034904415536276656,0.034904415536276656,coefficient
logit_dynamic_full,logit,dynamic_full,imbalance_5_change_1e,0.028191611862453666,0.028191611862453666,coefficient
logit_dynamic_full,logit,dynamic_full,transaction_lag_ms,-0.028076144760394803,0.028076144760394803,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_rolling_mean_5e,0.02095283947423529,0.02095283947423529,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_lag_10e,0.018314215594656066,0.018314215594656066,coefficient
logit_dynamic_full,logit,dynamic_full,bid_depth_5_change_1e,0.01772980942998976,0.01772980942998976,coefficient
logit_dynamic_full,logit,dynamic_full,spread_bps,-0.016221729538825704,0.016221729538825704,coefficient
logit_dynamic_full,logit,dynamic_full,microprice_deviation_bps_rolling_mean_5e,-0.01456324673145701,0.01456324673145701,coefficient
logit_dynamic_full,logit,dynamic_full,bid_depth_10,-0.01034816487406346,0.01034816487406346,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_lag_5e,0.00789056821625481,0.00789056821625481,coefficient
logit_dynamic_full,logit,dynamic_full,best_bid_qty_change_1e,0.005609095081955509,0.005609095081955509,coefficient
logit_dynamic_full,logit,dynamic_full,mid_return_bps_lag_2e,-0.0007813811568405739,0.0007813811568405739,coefficient
logit_static_full,logit,static_full,imbalance_5,-1.068073093088956,1.068073093088956,coefficient
logit_static_full,logit,static_full,imbalance_1,0.9291353572996282,0.9291353572996282,coefficient
logit_static_full,logit,static_full,ask_depth_5,-0.6136875296682466,0.6136875296682466,coefficient
logit_static_full,logit,static_full,ask_depth_10,0.5362103809100454,0.5362103809100454,coefficient
logit_static_full,logit,static_full,microprice_deviation_bps,0.21560118791602087,0.21560118791602087,coefficient
logit_static_full,logit,static_full,best_ask_qty,-0.19889745929985198,0.19889745929985198,coefficient
logit_static_full,logit,static_full,imbalance_10,0.16535030861402836,0.16535030861402836,coefficient
logit_static_full,logit,static_full,event_gap_ms,-0.15107629709274323,0.15107629709274323,coefficient
logit_static_full,logit,static_full,spread_bps,0.12379283987104639,0.12379283987104639,coefficient
logit_static_full,logit,static_full,bid_depth_5,0.11293737878125017,0.11293737878125017,coefficient
logit_static_full,logit,static_full,best_bid_qty,-0.07479722199352924,0.07479722199352924,coefficient
logit_static_full,logit,static_full,quote_changed,-0.0297068562483596,0.0297068562483596,coefficient
logit_static_full,logit,static_full,transaction_lag_ms,-0.016801447143010965,0.016801447143010965,coefficient
logit_static_full,logit,static_full,bid_depth_10,-0.015154053899958083,0.015154053899958083,coefficient
random_forest_dynamic_compact,random_forest,dynamic_compact,spread_bps_rolling_mean_10e,0.25692172136458,0.25692172136458,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,spread_bps_rolling_mean_5e,0.2548878443156853,0.2548878443156853,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,imbalance_5,0.06571310394470635,0.06571310394470635,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,microprice_deviation_bps,0.06220889398186044,0.06220889398186044,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_rolling_std_10e,0.05142319159028465,0.05142319159028465,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_rolling_mean_10e,0.04225163329455712,0.04225163329455712,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,microprice_deviation_bps_rolling_mean_5e,0.03569479871199843,0.03569479871199843,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,microprice_deviation_bps_rolling_mean_10e,0.03327246928963672,0.03327246928963672,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,microprice_deviation_bps_change_10e,0.030211323559468085,0.030211323559468085,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,imbalance_5_rolling_mean_5e,0.02594684748751659,0.02594684748751659,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,imbalance_5_change_10e,0.024543861101021254,0.024543861101021254,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,imbalance_5_rolling_mean_10e,0.01862351811458774,0.01862351811458774,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,quote_changed_rolling_sum_10e,0.017263895615232203,0.017263895615232203,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_rolling_mean_5e,0.01265336675559323,0.01265336675559323,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,imbalance_5_change_5e,0.01102195370741914,0.01102195370741914,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_rolling_std_5e,0.00997626964117888,0.00997626964117888,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,microprice_deviation_bps_change_5e,0.00890033294192778,0.00890033294192778,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,bid_depth_5_change_1e,0.008775860969727966,0.008775860969727966,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,microprice_deviation_bps_change_1e,0.007493935493878929,0.007493935493878929,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,imbalance_5_change_1e,0.0049908213606955345,0.0049908213606955345,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,best_bid_qty_change_1e,0.003468882867753235,0.003468882867753235,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,quote_changed_rolling_sum_5e,0.0030670142684073483,0.0030670142684073483,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,ask_depth_5_change_1e,0.003035480070590514,0.003035480070590514,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,spread_bps_change_5e,0.0027668443907324014,0.0027668443907324014,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,best_ask_qty_change_1e,0.0015368651984380864,0.0015368651984380864,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_lag_5e,0.0012019729380964093,0.0012019729380964093,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_lag_2e,0.0008507998813767094,0.0008507998813767094,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_lag_1e,0.0006239630315003293,0.0006239630315003293,feature_importance
random_forest_dynamic_compact,random_forest,dynamic_compact,mid_return_bps_lag_10e,0.0005087068908701225,0.0005087068908701225,feature_importance
