evaluation_method,model,algorithm,feature_set,threshold,run_name,signal,cooldown_trade_id,episode_start_row,episode_end_row,episode_duration_events,n_raw_signals_in_episode,target_label,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,mean_raw_signed_return_bps_in_episode,max_raw_signed_return_bps_in_episode,min_raw_signed_return_bps_in_episode
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201249,up,1,62,62,0,1,up,0.7536938190460205,3.0690528822030494,3.0690528822030494,True,True,3.0690528822030494,3.0690528822030494,3.0690528822030494
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201249,up,2,156,156,0,1,up,0.7711203694343567,1.712117186345452,1.712117186345452,True,True,1.712117186345452,1.712117186345452,1.712117186345452
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201249,up,3,207,207,0,1,up,0.7569528222084045,2.5031390170737744,2.5031390170737744,True,True,2.5031390170737744,2.5031390170737744,2.5031390170737744
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201249,up,4,269,269,0,1,up,0.7903782725334167,0.6536939356571736,0.6536939356571736,True,True,0.6536939356571736,0.6536939356571736,0.6536939356571736
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201249,down,5,501,501,0,1,down,0.2253388017416,-3.6122769036017743,3.6122769036017743,True,True,3.6122769036017743,3.6122769036017743,3.6122769036017743
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201428,up,1,41,41,0,1,down,0.7553048729896545,-2.567611757724464,-2.567611757724464,False,False,-2.567611757724464,-2.567611757724464,-2.567611757724464
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201428,up,2,105,105,0,1,up,0.7696901559829712,5.895716882828861,5.895716882828861,True,True,5.895716882828861,5.895716882828861,5.895716882828861
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201428,up,3,439,439,0,1,up,0.7557850480079651,1.7943584400725854,1.7943584400725854,True,True,1.7943584400725854,1.7943584400725854,1.7943584400725854
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201605,up,1,11,11,0,1,up,0.7895852327346802,10.12647580039161,10.12647580039161,True,True,10.12647580039161,10.12647580039161,10.12647580039161
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201605,down,2,134,134,0,1,up,0.2495529651641845,4.3314006343564415,-4.3314006343564415,False,False,-4.3314006343564415,-4.3314006343564415,-4.3314006343564415
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201605,up,3,324,324,0,1,up,0.7765306830406189,1.1629155909020916,1.1629155909020916,True,True,1.1629155909020916,1.1629155909020916,1.1629155909020916
cooldown_first_signal,xgboost_dynamic_compact,xgboost,dynamic_compact,0.75,20260610_201605,up,4,480,480,0,1,up,0.7729132175445557,1.4537290168359362,1.4537290168359362,True,True,1.4537290168359362,1.4537290168359362,1.4537290168359362
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201249,up,1,43,43,0,1,up,0.7581418752670288,0.7753396755050268,0.7753396755050268,True,True,0.7753396755050268,0.7753396755050268,0.7753396755050268
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201249,up,2,94,94,0,1,up,0.7770090699195862,1.1467676899012955,1.1467676899012955,True,True,1.1467676899012955,1.1467676899012955,1.1467676899012955
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201249,up,3,172,172,0,1,up,0.7858055830001831,4.280320620242417,4.280320620242417,True,True,4.280320620242417,4.280320620242417,4.280320620242417
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201249,up,4,269,269,0,1,up,0.8649183511734009,0.6536939356571736,0.6536939356571736,True,True,0.6536939356571736,0.6536939356571736,0.6536939356571736
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201249,down,5,495,495,0,1,down,0.2318030446767807,-3.176909512101478,3.176909512101478,True,True,3.176909512101478,3.176909512101478,3.176909512101478
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201428,up,1,76,76,0,1,up,0.7546655535697937,0.2099651054132678,0.2099651054132678,True,True,0.2099651054132678,0.2099651054132678,0.2099651054132678
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201428,up,2,145,145,0,1,up,0.8304027915000916,2.130893352825236,2.130893352825236,True,True,2.130893352825236,2.130893352825236,2.130893352825236
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201605,up,1,11,11,0,1,up,0.8069887757301331,10.12647580039161,10.12647580039161,True,True,10.12647580039161,10.12647580039161,10.12647580039161
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201605,down,2,135,135,0,1,up,0.2452476024627685,4.719470320269092,-4.719470320269092,False,False,-4.719470320269092,-4.719470320269092,-4.719470320269092
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201605,up,3,324,324,0,1,up,0.7632442116737366,1.1629155909020916,1.1629155909020916,True,True,1.1629155909020916,1.1629155909020916,1.1629155909020916
cooldown_first_signal,xgboost_dynamic_full,xgboost,dynamic_full,0.75,20260610_201605,up,4,478,478,0,1,up,0.7563599348068237,1.8414614742834343,1.8414614742834343,True,True,1.8414614742834343,1.8414614742834343,1.8414614742834343
