evaluation_method,model,algorithm,feature_set,threshold,role,n_features,run_name,row_in_run,event_time,target_horizon,target_label,signal,predicted_proba_up,future_mid_return_bps,signed_return_bps,is_correct_signal,is_positive_signed_return,cooldown_trade_id
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2330,1782915706707,50,up,up,0.8532560673678883,2.9332184489438973,2.9332184489438973,True,True,45
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2381,1782915711909,50,up,up,0.9296851847147782,0.7164272605564292,0.7164272605564292,True,True,46
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2432,1782915717125,50,down,up,0.9528207038794584,-2.51564573377272,-2.51564573377272,False,False,47
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2503,1782915724369,50,up,up,0.8683966832207837,4.21814653307484,4.21814653307484,True,True,48
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2554,1782915729571,50,down,up,0.9306067722402346,-2.0831857743408566,-2.0831857743408566,False,False,49
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2606,1782915734875,50,up,up,0.9095130619998055,2.483608599952447,2.483608599952447,True,True,50
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2657,1782915740079,50,down,up,0.915060576018383,-0.8832118916990428,-0.8832118916990428,False,False,51
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2708,1782915745281,50,down,up,0.87612110666176,-6.233026876177883,-6.233026876177883,False,False,52
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2759,1782915750483,50,up,up,0.9253523358008868,1.2173656374359076,1.2173656374359076,True,True,53
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2810,1782915755685,50,up,up,0.9086355788032477,1.8008148687287395,1.8008148687287395,True,True,54
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_191745,2861,1782915760887,50,down,up,0.9318372670935856,-3.467611590826092,-3.467611590826092,False,False,55
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,20,1782915783225,50,up,up,0.9414549364544418,1.100490635408402,1.100490635408402,True,True,1
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,71,1782915788429,50,down,up,0.8952366345213568,-2.10070548692598,-2.10070548692598,False,False,2
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,122,1782915793631,50,up,up,0.8811755833478297,1.617549579144839,1.617549579144839,True,True,3
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,180,1782915799547,50,down,up,0.9411535551014572,-3.293294102836297,-3.293294102836297,False,False,4
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,237,1782915805361,50,down,up,0.8932282067350485,-1.3344331286369027,-1.3344331286369027,False,False,5
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,294,1782915811175,50,up,up,0.9011708519355595,1.8520295156765343,1.8520295156765343,True,True,6
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,345,1782915816377,50,down,up,0.9189986110306309,-1.3178670238811474,-1.3178670238811474,False,False,7
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,396,1782915821579,50,up,up,0.9232146851619168,1.2346204251256765,1.2346204251256765,True,True,8
cooldown_first_signal,hist_gradient_boosting_dynamic_full,hist_gradient_boosting,dynamic_full,0.85,candidate_c,42,20260701_192258,460,1782915828107,50,down,up,0.8572137457064958,-1.3013479796153415,-1.3013479796153415,False,False,9
