model,algorithm,feature_set,n_features,horizon,threshold,signal_group,n_signals,coverage,precision,mean_future_return_bps,median_future_return_bps,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,break_even_round_trip_cost_bps
lightgbm_static_full,lightgbm,static_full,14,50,0.6,up,454,0.29328165374677,0.6299559471365639,1.1395148759646692,1.0414062164199045,1.1395148759646692,1.0414062164199045,0.6299559471365639,1.1395148759646692
lightgbm_static_full,lightgbm,static_full,14,50,0.6,down,213,0.1375968992248062,0.4647887323943662,0.45094003205387007,0.4846788961931914,-0.45094003205387007,-0.4846788961931914,0.4647887323943662,-0.45094003205387007
lightgbm_static_full,lightgbm,static_full,14,50,0.6,both,667,0.43087855297157623,0.5772113943028486,0.9196251581940543,0.7913775379608801,0.6316184810502031,0.4846812453396243,0.5772113943028486,0.6316184810502031
lightgbm_static_full,lightgbm,static_full,14,50,0.65,up,327,0.21124031007751937,0.6972477064220184,1.7903589539274158,1.8737375491340025,1.7903589539274158,1.8737375491340025,0.6972477064220184,1.7903589539274158
lightgbm_static_full,lightgbm,static_full,14,50,0.65,down,91,0.05878552971576227,0.5054945054945055,0.5377448868066219,-0.03231364920419644,-0.5377448868066219,0.03231364920419644,0.5054945054945055,-0.5377448868066219
lightgbm_static_full,lightgbm,static_full,14,50,0.65,both,418,0.27002583979328165,0.6555023923444976,1.5176606761570994,1.4537618915699824,1.2835229503226373,1.2608006569092556,0.6555023923444976,1.2835229503226373
lightgbm_static_full,lightgbm,static_full,14,50,0.7,up,216,0.13953488372093023,0.8055555555555556,2.5473924638569247,2.5031390170737744,2.5473924638569247,2.5031390170737744,0.8055555555555556,2.5473924638569247
lightgbm_static_full,lightgbm,static_full,14,50,0.7,down,34,0.021963824289405683,0.7352941176470589,-0.7837945374557149,-1.9838501693136834,0.7837945374557149,1.9838501693136834,0.7352941176470589,0.7837945374557149
lightgbm_static_full,lightgbm,static_full,14,50,0.7,both,250,0.16149870801033592,0.796,2.094351031678405,1.8737375491340025,2.30754314586636,2.4630103558997973,0.796,2.30754314586636
lightgbm_static_full,lightgbm,static_full,14,50,0.75,up,117,0.0755813953488372,0.8376068376068376,3.050851094569148,2.6812790993480107,3.050851094569148,2.6812790993480107,0.8376068376068376,3.050851094569148
lightgbm_static_full,lightgbm,static_full,14,50,0.75,down,11,0.0071059431524547806,0.9090909090909091,-2.133742712306223,-2.5320926616900774,2.133742712306223,2.5320926616900774,0.9090909090909091,2.133742712306223
lightgbm_static_full,lightgbm,static_full,14,50,0.75,both,128,0.082687338501292,0.84375,2.605300064290796,2.6812790993480107,2.972037092968428,2.6812790993480107,0.84375,2.972037092968428
lightgbm_static_full,lightgbm,static_full,14,50,0.8,up,29,0.018733850129198967,0.9655172413793104,6.587095597563932,7.502949030882,6.587095597563932,7.502949030882,0.9655172413793104,6.587095597563932
lightgbm_static_full,lightgbm,static_full,14,50,0.8,down,2,0.0012919896640826874,1.0,-3.072184782645926,-3.072184782645926,3.072184782645926,3.072184782645926,1.0,3.072184782645926
lightgbm_static_full,lightgbm,static_full,14,50,0.8,both,31,0.020025839793281652,0.967741935483871,5.963916218195554,7.502949030882,6.3603271578918035,7.502949030882,0.967741935483871,6.3603271578918035
lightgbm_static_full,lightgbm,static_full,14,50,0.85,up,4,0.002583979328165375,0.75,1.7781497930396961,0.9285277975501494,1.7781497930396961,0.9285277975501494,0.75,1.7781497930396961
lightgbm_static_full,lightgbm,static_full,14,50,0.85,down,0,0.0,,,,,,,
lightgbm_static_full,lightgbm,static_full,14,50,0.85,both,4,0.002583979328165375,0.75,1.7781497930396961,0.9285277975501494,1.7781497930396961,0.9285277975501494,0.75,1.7781497930396961
lightgbm_static_full,lightgbm,static_full,14,50,0.9,up,0,0.0,,,,,,,
lightgbm_static_full,lightgbm,static_full,14,50,0.9,down,0,0.0,,,,,,,
lightgbm_static_full,lightgbm,static_full,14,50,0.9,both,0,0.0,,,,,,,
lightgbm_static_full,lightgbm,static_full,14,50,0.95,up,0,0.0,,,,,,,
lightgbm_static_full,lightgbm,static_full,14,50,0.95,down,0,0.0,,,,,,,
lightgbm_static_full,lightgbm,static_full,14,50,0.95,both,0,0.0,,,,,,,
logit_dynamic_compact,logit,dynamic_compact,30,50,0.5,up,881,0.580368906455863,0.6174801362088536,0.64269729698469,0.7905182976752911,0.64269729698469,0.7905182976752911,0.6174801362088536,0.64269729698469
logit_dynamic_compact,logit,dynamic_compact,30,50,0.5,down,637,0.419631093544137,0.45839874411302983,0.31830163304447334,0.4846788961931914,-0.31830163304447334,-0.4846788961931914,0.45839874411302983,-0.31830163304447334
