run_name,row_in_run,future_return_bps,move_probability,direction_probability_up,direction_confidence,signal_direction,signed_return_bps,net_return_bps_1bps_cost,specification,move_threshold,direction_threshold
20260717_201832,1165,0.5403073236265321,0.6580511768104023,0.3456464362797496,0.6543535637202504,-1,-0.5403073236265321,-1.540307323626532,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_201832,2621,-2.6617213573831844,0.6578576699120997,0.6763146624586768,0.6763146624586768,1,-2.6617213573831844,-3.6617213573831844,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_201832,2742,-1.2522895895894504,0.6541209786376757,0.6673123747840483,0.6673123747840483,1,-1.2522895895894504,-2.2522895895894504,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_202902,1811,-9.00164832293826,0.8224443298542286,0.3486830354721679,0.651316964527832,-1,9.00164832293826,8.00164832293826,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_202902,2030,-0.5618608832458349,0.7225466498122245,0.6548399653032357,0.6548399653032357,1,-0.5618608832458349,-1.561860883245835,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_203415,1136,-4.205530272308744,0.6765528051577067,0.32181657960892157,0.6781834203910784,-1,4.205530272308744,3.205530272308744,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_203415,1503,-1.6131799968854832,0.661672636997831,0.34673076382407775,0.6532692361759223,-1,1.6131799968854832,0.6131799968854832,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_210027,409,-4.574994813690836,0.7041086406678694,0.2749520228049144,0.7250479771950856,-1,4.574994813690836,3.574994813690836,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_210027,519,4.467150265938802,0.7196620435241907,0.6535911954266764,0.6535911954266764,1,4.467150265938802,3.467150265938802,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_210027,651,0.0867817234517787,0.675244437400383,0.31639354560673616,0.6836064543932638,-1,-0.0867817234517787,-1.0867817234517787,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_210541,2507,5.797498725887973,0.6620545922152498,0.6505015578077298,0.6505015578077298,1,5.797498725887973,4.797498725887973,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_210541,2571,0.6613970122182344,0.6660752723974545,0.34634660532032885,0.6536533946796712,-1,-0.6613970122182344,-1.6613970122182344,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_210541,2698,-2.266333536621312,0.6572626613726229,0.3485392781244563,0.6514607218755437,-1,2.266333536621312,1.2663335366213122,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_211055,35,-1.543670517705209,0.6658654595394136,0.345345670214987,0.6546543297850129,-1,1.543670517705209,0.543670517705209,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_212123,611,1.964924906725507,0.9778841671184679,0.3401336214709711,0.6598663785290289,-1,-1.964924906725507,-2.964924906725507,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_212637,335,1.671337740303258,0.6893828330704377,0.6598853340484516,0.6598853340484516,1,1.671337740303258,0.6713377403032581,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_214215,1023,-1.441896306382251,0.7761535750737172,0.26173048487802114,0.7382695151219789,-1,1.441896306382251,0.44189630638225097,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_214215,2498,-0.9291302002745194,0.8072455768451171,0.34618522145870934,0.6538147785412907,-1,0.9291302002745194,-0.07086979972548058,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_214730,167,-0.22014742014797584,0.7893831227171408,0.3273704933562584,0.6726295066437415,-1,0.22014742014797584,-0.7798525798520242,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_214730,434,-0.14147951415854898,0.844585835168264,0.3257660281607908,0.6742339718392092,-1,0.14147951415854898,-0.858520485841451,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_215245,795,0.9438525702276657,0.7332686530232735,0.659124737580991,0.659124737580991,1,0.9438525702276657,-0.056147429772334334,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_220315,1978,-0.4392539272035645,0.8571863217412646,0.3351547842389724,0.6648452157610276,-1,0.4392539272035645,-0.5607460727964355,sensitivity_medium_0p65_0p65,0.65,0.65
