evaluation_method,feature_set,horizon,run_name,n,precision,mean_signed_return_bps,median_signed_return_bps,share_signed_return_ge_1_bps,up_count,down_count
cooldown_first_signal,trade_flow_only,50,20260704_143609,3,0.6666666666666666,0.5395190523072024,0.672856411640943,0.3333333333333333,2,1
cooldown_first_signal,trade_flow_only,50,20260704_144124,5,0.4,0.06725124603490511,-0.4805724579126647,0.2,4,1
cooldown_first_signal,trade_flow_only,50,20260704_144638,6,0.6666666666666666,0.03470522787078304,0.192095228039868,0.0,5,1
cooldown_first_signal,trade_flow_only,50,20260704_145150,6,0.6666666666666666,0.7204450621497068,0.3361591157574617,0.3333333333333333,4,2
cooldown_first_signal,trade_flow_only,50,20260704_145704,1,1.0,0.0480148654014023,0.0480148654014023,0.0,1,0
raw_selected_signal,book_only,10,20260704_143609,368,0.9945652173913043,0.5148055818909085,0.4484660459158629,0.11413043478260869,109,259
raw_selected_signal,book_only,10,20260704_144124,86,0.9651162790697675,0.7301669067440079,0.7048486377603247,0.20930232558139536,40,46
raw_selected_signal,book_only,10,20260704_144638,176,1.0,0.5928401160518939,0.592377700021629,0.05113636363636364,134,42
raw_selected_signal,book_only,10,20260704_145150,191,0.9476439790575916,0.32558828278310553,0.4001283611776429,0.010471204188481676,126,65
raw_selected_signal,book_only,10,20260704_145704,81,1.0,0.27033732689843676,0.1440489766524333,0.0,16,65
raw_selected_signal,book_only,20,20260704_143609,439,0.9886104783599089,0.6228200279753675,0.4968326915899546,0.19362186788154898,113,326
raw_selected_signal,book_only,20,20260704_144124,99,0.9292929292929293,0.8047031336078877,0.9932658179589992,0.32323232323232326,58,41
raw_selected_signal,book_only,20,20260704_144638,249,1.0,0.6433170240722879,0.592377700021629,0.10843373493975904,209,40
raw_selected_signal,book_only,20,20260704_145150,260,0.9461538461538461,0.32167412674985674,0.4001283611776429,0.007692307692307693,201,59
raw_selected_signal,book_only,20,20260704_145704,99,1.0,0.2067977121136961,0.1440439045807817,0.0,29,70
raw_selected_signal,book_only,50,20260704_143609,170,0.9823529411764705,0.5853853206173142,0.5286915285207527,0.16470588235294117,55,115
