move_feature_set,n_features,C,split,direction_confidence_threshold,tail_fraction,direction_confident_rows,tail_n_rows,tail_probability_min,tail_move_share,subset_move_share,move_share_lift,tail_mean_abs_future_return_bps,tail_median_abs_future_return_bps,tail_directional_precision,tail_mean_direction_signed_return_bps,tail_median_direction_signed_return_bps
medium_trade_flow,24,0.03,test,0.6,0.1,27757,2776,0.5256802525770995,0.6098703170028819,0.49544259105811145,1.230960615841259,1.8269153305786348,1.3459033567680967,0.5724063400576369,0.47237570205482704,0.41247471053107443
medium_trade_flow,24,0.03,test,0.6,0.05,27757,1388,0.5522649119598076,0.6318443804034583,0.49544259105811145,1.2753130066069511,2.1132061147038996,1.3964264600108134,0.5403458213256485,0.4542131747561738,0.2776394758507994
medium_trade_flow,24,0.03,test,0.6,0.02,27757,556,0.5891074047300413,0.7068345323741008,0.49544259105811145,1.4266729286727688,2.7165726281450406,1.916863567632543,0.5305755395683454,0.47693875075753206,0.16691817173120072
medium_trade_flow,24,0.03,test,0.6,0.01,27757,278,0.6297087264070307,0.7553956834532374,0.49544259105811145,1.5246886260625008,3.3264777438787325,2.348619766907034,0.5431654676258992,0.32180379268336123,0.2695236170069393
medium_trade_flow,24,0.03,test,0.65,0.1,3484,349,0.5337302874845531,0.6189111747851003,0.5017221584385764,1.2335735314366643,1.9953505949221517,1.426399000252765,0.6131805157593123,0.9121818387978298,0.63437638026409
medium_trade_flow,24,0.03,test,0.65,0.05,3484,175,0.5641378324017858,0.6742857142857143,0.5017221584385764,1.3439424648577967,2.4022889628480457,1.5809430884439202,0.5771428571428572,1.0660411562507743,0.6697362913343774
medium_trade_flow,24,0.03,test,0.65,0.02,3484,70,0.6020023712794845,0.7428571428571429,0.5017221584385764,1.480614579928081,2.7778980744355937,1.8877128138428123,0.6285714285714286,1.3962737878698046,1.0582169722034296
medium_trade_flow,24,0.03,test,0.65,0.01,3484,35,0.6502231308371655,0.8,0.5017221584385764,1.5945080091533181,3.5565958665395585,2.9354683547744287,0.6857142857142857,2.135391488720392,1.3448164839691135
medium_trade_flow,24,0.03,test,0.7,0.1,55,6,0.6502231308371655,0.6666666666666666,0.6363636363636364,1.0476190476190477,3.978875350568179,2.3442247092975155,0.5,0.1567413912179072,-0.0375214754783082
medium_trade_flow,24,0.03,test,0.7,0.05,55,3,0.7982817337043014,0.6666666666666666,0.6363636363636364,1.0476190476190477,6.165991562702885,8.859596824835059,0.6666666666666666,0.1482630176863342,0.6117850457487695
medium_trade_flow,24,0.03,test,0.7,0.02,55,2,0.8171214926383271,0.5,0.6363636363636364,0.7857142857142857,4.8191889316367975,4.8191889316367975,0.5,-4.207403885888028,-4.207403885888028
medium_trade_flow,24,0.03,test,0.7,0.01,55,1,0.8768004060548448,0.0,0.6363636363636364,0.0,0.6117850457487695,0.6117850457487695,1.0,0.6117850457487695,0.6117850457487695
medium_trade_flow,24,0.03,test,0.75,0.1,0,0,,,,,,,,,
medium_trade_flow,24,0.03,test,0.75,0.05,0,0,,,,,,,,,
medium_trade_flow,24,0.03,test,0.75,0.02,0,0,,,,,,,,,
medium_trade_flow,24,0.03,test,0.75,0.01,0,0,,,,,,,,,
reduced_trade_flow,14,0.03,validation,0.6,0.1,29796,2980,0.5365356628250642,0.6614093959731544,0.5218821318297758,1.2673539782904248,2.2047009425763595,1.6663471486455528,0.5818791946308725,0.5014458219137814,0.4839857279770321
reduced_trade_flow,14,0.03,validation,0.6,0.05,29796,1490,0.5735895844084468,0.687248322147651,0.5218821318297758,1.316865016508772,2.3631033320070243,1.7532168699074813,0.6114093959731544,0.7447148136956789,0.6620340147228676
reduced_trade_flow,14,0.03,validation,0.6,0.02,29796,596,0.619041665150235,0.7365771812080537,0.5218821318297758,1.411386089471072,2.7817649168673557,1.9287540567713979,0.62751677852349,0.7918966890874682,0.8958386096630244
