run_name,horizon,n,mean_bps,std_bps,median_bps,mean_abs_bps,median_abs_bps,share_positive,share_abs_ge_1_bps,share_abs_ge_2_bps
20260704_141515,5,2908,0.007213165268376653,0.1454522508029848,0.0,0.017120567338868835,0.0,0.018225584594222834,0.006533700137551582,0.001375515818431912
20260704_142028,5,2908,-0.012689702989861733,0.20742121572053535,0.0,0.04121720513679691,0.0,0.030949105914718018,0.012379642365887207,0.001375515818431912
20260704_142541,5,2907,0.005620410054295292,0.13896884673521295,0.0,0.021651026570139557,0.0,0.02304781561747506,0.0020639834881320948,0.0013759889920880633
20260704_143056,5,2907,-0.0034967149750444217,0.1701843035450551,0.0,0.03543160367766305,0.0,0.026831785345717233,0.005503955968352253,0.0
20260704_143609,5,2908,-0.007599386474346071,0.20731135763173547,0.0,0.05435007092911377,0.0,0.05055020632737277,0.008253094910591471,0.0
20260704_144124,5,2908,0.00699704441400559,0.16063132052500154,0.0,0.03084766445461984,0.0,0.027510316368638238,0.008940852819807428,0.0
20260704_144638,5,2908,0.0053146585269385005,0.15847801164207462,0.0,0.035372210815137896,0.0,0.04401650618982118,0.005502063273727648,0.0
20260704_145150,5,2908,0.006496396823745989,0.16788864776206436,0.0,0.02796329320253403,0.0,0.03782668500687758,0.004814305364511692,0.001375515818431912
20260704_145704,5,2908,-0.003908004939741844,0.054906575981628306,0.0,0.006495265687093284,0.0,0.005502063273727648,0.0,0.0
20260704_125643,10,2902,-0.011787902495984588,0.2515346740873158,0.0,0.061951872452216054,0.0,0.033425223983459686,0.025499655410062026,0.0
20260704_130157,10,2903,-0.009309616291431696,0.18244022322841394,0.0,0.03587176282856935,0.0,0.020323802962452637,0.012400964519462624,0.0
20260704_130711,10,2902,-0.013724713145147355,0.19921349445918768,0.0,0.03875592759758609,0.0,0.03308063404548587,0.009648518263266712,0.0
20260704_131225,10,2902,-0.003912084685372862,0.2437569825779573,0.0,0.05628821447843086,0.0,0.03790489317711923,0.021364576154376293,0.002067539627842867
20260704_131740,10,2903,0.02501014072920834,0.19047240043844543,0.0,0.04415344149361997,0.0,0.09025146400275577,0.0058560110230795725,0.0013778849466069584
20260704_132254,10,2903,0.0012132078578328185,0.17310740838817332,0.0,0.03916503785088461,0.0,0.08852910781949708,0.00792283844299001,0.0
20260704_132808,10,2903,0.00170898966606241,0.18196694418292653,0.0,0.04247188986388481,0.0,0.05545986910093007,0.003444712366517396,0.003100241129865656
20260704_133321,10,2902,0.02988106271182107,0.28378673719866704,0.0,0.0977645610896273,0.0,0.16126809097174363,0.02343211578221916,0.0
20260704_133834,10,2903,-0.014446135453628323,0.7983525395097215,0.0,0.22031358200086346,0.0,0.08646228039958663,0.0644161212538753,0.016879090595935238
20260704_134349,10,2902,0.03484784288105586,0.26316689870940563,0.0,0.060660681023473995,0.0,0.06753962784286699,0.010337698139214336,0.0031013094417643005
20260704_134903,10,2902,0.007650538295390097,0.15878791860679886,0.0,0.04195788965534729,0.0,0.06650585802894556,0.00034458993797381116,0.0
20260704_135418,10,2903,-0.04139156225214657,0.3108843834722228,0.0,0.08946400388355372,0.0,0.04030313468825353,0.014812263176024801,0.006544953496383052
20260704_135929,10,2903,-0.03353694388449277,0.46724375589375605,0.0,0.16936896431653375,0.0,0.10471925594212883,0.043058904581467446,0.009989665862900447
