run_name,row_in_run,future_return_bps,signal_direction,fold,model,signed_return_bps,net_return_bps,direction_correct,net_profitable
20260708_185955,2745,-1.9201709113469967,-1,fold_1_tue_to_wed,direct_multiclass_base,1.9201709113469967,0.9201709113469967,True,True
20260708_185955,2797,-1.0652162510038643,-1,fold_1_tue_to_wed,direct_multiclass_base,1.0652162510038643,0.0652162510038643,True,True
20260708_185955,2855,-2.43734529515649,1,fold_1_tue_to_wed,direct_multiclass_base,-2.43734529515649,-3.43734529515649,False,False
20260708_190508,0,1.0975185589590097,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.0975185589590097,-2.0975185589590097,False,False
20260708_190508,51,-0.33890235980882366,1,fold_1_tue_to_wed,direct_multiclass_base,-0.33890235980882366,-1.3389023598088237,False,False
20260708_190508,102,2.6145119940745865,-1,fold_1_tue_to_wed,direct_multiclass_base,-2.6145119940745865,-3.6145119940745865,False,False
20260708_190508,153,0.596980729623553,1,fold_1_tue_to_wed,direct_multiclass_base,0.596980729623553,-0.403019270376447,True,False
20260708_190508,204,-0.935751767643378,-1,fold_1_tue_to_wed,direct_multiclass_base,0.935751767643378,-0.06424823235662203,True,False
20260708_190508,275,-2.5973460286010663,1,fold_1_tue_to_wed,direct_multiclass_base,-2.5973460286010663,-3.5973460286010663,False,False
20260708_190508,326,1.3232155752151975,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.3232155752151975,-2.3232155752151975,False,False
20260708_190508,377,-0.5969816928297345,1,fold_1_tue_to_wed,direct_multiclass_base,-0.5969816928297345,-1.5969816928297345,False,False
20260708_190508,428,0.7583892779905455,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.7583892779905455,-1.7583892779905455,False,False
20260708_190508,479,-0.9519483882625135,1,fold_1_tue_to_wed,direct_multiclass_base,-0.9519483882625135,-1.9519483882625135,False,False
20260708_190508,530,0.3065888361319935,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.3065888361319935,-1.3065888361319935,False,False
20260708_190508,583,3.6466817213298697,-1,fold_1_tue_to_wed,direct_multiclass_base,-3.6466817213298697,-4.64668172132987,False,False
20260708_190508,634,-1.4678307155668868,-1,fold_1_tue_to_wed,direct_multiclass_base,1.4678307155668868,0.4678307155668868,True,True
20260708_190508,686,2.54903874619572,-1,fold_1_tue_to_wed,direct_multiclass_base,-2.54903874619572,-3.54903874619572,False,False
20260708_190508,739,-3.629035184705698,1,fold_1_tue_to_wed,direct_multiclass_base,-3.629035184705698,-4.629035184705698,False,False
20260708_190508,795,-3.0497668703333147,1,fold_1_tue_to_wed,direct_multiclass_base,-3.0497668703333147,-4.049766870333315,False,False
20260708_190508,846,-0.3066561327602635,1,fold_1_tue_to_wed,direct_multiclass_base,-0.3066561327602635,-1.3066561327602635,False,False
20260708_190508,899,-3.098510858908776,1,fold_1_tue_to_wed,direct_multiclass_base,-3.098510858908776,-4.098510858908776,False,False
20260708_190508,950,-0.7264385703364962,-1,fold_1_tue_to_wed,direct_multiclass_base,0.7264385703364962,-0.27356142966350383,True,False
20260708_190508,1003,0.8233568581994533,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.8233568581994533,-1.8233568581994533,False,False
20260708_190508,1067,-4.100302437661796,-1,fold_1_tue_to_wed,direct_multiclass_base,4.100302437661796,3.100302437661796,True,True
20260708_190508,1118,1.9056462845967737,1,fold_1_tue_to_wed,direct_multiclass_base,1.9056462845967737,0.9056462845967737,True,True
20260708_190508,1178,2.987270192129632,-1,fold_1_tue_to_wed,direct_multiclass_base,-2.987270192129632,-3.987270192129632,False,False
20260708_190508,1229,4.487638412571382,1,fold_1_tue_to_wed,direct_multiclass_base,4.487638412571382,3.487638412571382,True,True
