label_spec,deadzone_type,deadzone_value,run_name,horizon,total_rows,up_count,down_count,flat_count,unknown_count,nonflat_count,up_share_total,down_share_total,flat_share_total,nonflat_share_total,up_share_nonflat
current_tick_deadzone_0_5,ticks,0.5,20260704_135418,20,2913,213,634,2046,20,847,0.07312049433573635,0.21764503947820116,0.7023686920700309,0.29076553381393755,0.2514757969303424
current_tick_deadzone_0_5,ticks,0.5,20260704_135929,20,2913,506,817,1570,20,1323,0.17370408513559904,0.2804668726398902,0.5389632681084793,0.45417095777548916,0.382464096749811
current_tick_deadzone_0_5,ticks,0.5,20260704_140444,20,2913,503,518,1872,20,1021,0.1726742190181943,0.17782354960521798,0.6426364572605562,0.3504977686234123,0.4926542605288932
current_tick_deadzone_0_5,ticks,0.5,20260704_141000,20,2913,266,376,2251,20,642,0.09131479574322005,0.12907655338139376,0.7727428767593546,0.2203913491246138,0.4143302180685358
current_tick_deadzone_0_5,ticks,0.5,20260704_141515,20,2913,180,116,2597,20,296,0.061791967044284246,0.03982148987298318,0.891520768966701,0.10161345691726742,0.6081081081081081
current_tick_deadzone_0_5,ticks,0.5,20260704_142028,20,2913,284,348,2261,20,632,0.09749399244764848,0.11946446961894953,0.7761757638173704,0.216958462066598,0.44936708860759494
current_tick_deadzone_0_5,ticks,0.5,20260704_142541,20,2912,248,237,2407,20,485,0.08516483516483517,0.08138736263736264,0.8265796703296703,0.1665521978021978,0.511340206185567
current_tick_deadzone_0_5,ticks,0.5,20260704_143056,20,2912,234,485,2173,20,719,0.08035714285714286,0.1665521978021978,0.7462225274725275,0.24690934065934067,0.325452016689847
current_tick_deadzone_0_5,ticks,0.5,20260704_143609,20,2913,468,628,1797,20,1096,0.16065911431513905,0.2155853072433917,0.6168898043254377,0.3762444215585307,0.42700729927007297
current_tick_deadzone_0_5,ticks,0.5,20260704_144124,20,2913,271,195,2427,20,466,0.09303123927222795,0.06694129763130793,0.8331616889804325,0.15997253690353588,0.5815450643776824
current_tick_deadzone_0_5,ticks,0.5,20260704_144638,20,2913,429,207,2257,20,636,0.14727085478887744,0.07106076210092688,0.7748026089941641,0.21833161688980432,0.6745283018867925
current_tick_deadzone_0_5,ticks,0.5,20260704_145150,20,2913,378,204,2311,20,582,0.12976313079299692,0.07003089598352215,0.7933401991074494,0.19979402677651906,0.6494845360824743
current_tick_deadzone_0_5,ticks,0.5,20260704_145704,20,2913,57,185,2651,20,242,0.01956745623069001,0.06350841057329214,0.9100583590799862,0.08307586680398214,0.23553719008264462
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_125643,20,2912,78,82,2732,20,160,0.026785714285714284,0.02815934065934066,0.9381868131868132,0.054945054945054944,0.4875
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_130157,20,2913,37,48,2808,20,85,0.012701682114658427,0.016477857878475798,0.9639546858908342,0.029179539993134225,0.43529411764705883
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_130711,20,2912,19,39,2834,20,58,0.006524725274725275,0.013392857142857142,0.9732142857142857,0.019917582417582416,0.3275862068965517
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_131225,20,2912,76,59,2757,20,135,0.0260989010989011,0.020260989010989012,0.946771978021978,0.04635989010989011,0.562962962962963
cost_aware_bps_deadzone_1_0,bps,1.0,20260704_131740,20,2913,27,1,2865,20,28,0.009268795056642637,0.00034328870580157915,0.9835221421215242,0.009612083762444216,0.9642857142857143
