run_name,rows,rows_with_trades,share_rows_with_trades,total_trades_assigned,total_buy_trades,total_sell_trades,total_trade_volume,total_buy_trade_volume,total_sell_trade_volume,total_signed_trade_volume,mean_trade_imbalance,mean_trade_imbalance_rolling_20e,collection_batch,regime
20260707_212131,2912,1644,0.5645604395604396,9945.0,5136.0,4809.0,636.8109999999999,301.884,334.927,-33.043,-0.0281807191442329,-0.0119849786741198,weekday_active_tue_day28,Tuesday Day 28
20260707_212646,2911,1390,0.477499141188595,6355.0,2991.0,3364.0,443.503,219.864,223.639,-3.774999999999981,-0.0869441380895836,-0.0899865905442851,weekday_active_tue_day28,Tuesday Day 28
20260707_213157,2912,1122,0.3853021978021978,5340.0,2640.0,2700.0,295.757,91.827,203.93,-112.10299999999998,-0.0608739839509127,-0.2445346467418099,weekday_active_tue_day28,Tuesday Day 28
20260707_213712,2912,1117,0.3835851648351648,5072.0,2504.0,2568.0,366.886,203.201,163.68499999999997,39.516000000000005,-0.0713854380398584,-0.1353399943117392,weekday_active_tue_day28,Tuesday Day 28
20260707_214226,2909,1095,0.3764180130629082,5042.0,2587.0,2455.0,305.904,204.56,101.344,103.216,-0.0441000157130866,-0.068766015707695,weekday_active_tue_day28,Tuesday Day 28
20260707_214739,2911,1404,0.4823084850566815,10919.0,6476.0,4443.0,1415.244,918.626,496.618,422.0079999999999,-0.0047330648687019,-0.0234144301621913,weekday_active_tue_day28,Tuesday Day 28
20260707_215251,2898,1579,0.5448585231193926,7897.0,3262.0,4635.0,709.5379999999999,293.693,415.8449999999999,-122.15200000000002,-0.1511342563797171,-0.239753916886989,weekday_active_tue_day28,Tuesday Day 28
20260707_215805,2910,1463,0.5027491408934708,7237.0,3569.0,3668.0,445.952,230.869,215.083,15.786000000000003,-0.1031285296958718,-0.1545297560337858,weekday_active_tue_day28,Tuesday Day 28
20260707_220321,2910,1288,0.4426116838487972,5193.0,2715.0,2478.0,439.098,179.213,259.885,-80.672,-0.0767133635538,-0.0535464291602339,weekday_active_tue_day28,Tuesday Day 28
20260708_185955,2915,1961,0.6727272727272727,15737.0,8428.0,7309.0,1522.199,1009.8819999999998,512.317,497.565,-0.0079420950007337,0.0720982036258375,weekday_active_wed_day29,Wednesday Day 29
20260708_190508,2908,1543,0.53060522696011,10697.0,5487.0,5210.0,806.1439999999999,348.333,457.811,-109.47799999999998,0.0013636477879656,0.0002703914136673,weekday_active_wed_day29,Wednesday Day 29
