evaluation_method,model,run_name,n_signals_or_trades,precision,mean_signed_return_bps,median_signed_return_bps,positive_signed_return_share,up_count,down_count,total_signed_return_bps
cooldown_first_signal,xgboost_dynamic_full,20260701_200954,54,0.5925925925925926,0.4066040866182555,0.44315899840441375,0.5925925925925926,54,0,21.956620677385796
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_191230,2446,0.5572363041700736,0.4972802761978313,0.44258373446570687,0.5572363041700736,2446,0,1216.3475555798952
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_191745,2258,0.4636846767050487,0.05320606445150008,-0.4001450525814576,0.4636846767050487,2258,0,120.13929353148717
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_192258,2040,0.3656862745098039,-0.6350031555331076,-0.8195247592646115,0.3656862745098039,2040,0,-1295.4064372875396
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_192811,1905,0.45091863517060365,-0.32475044999954494,-0.2847750068046828,0.45091863517060365,1905,0,-618.6496072491332
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_193325,2205,0.48435374149659866,-0.194916580492306,-0.08391972239341072,0.48435374149659866,2205,0,-429.79105998553473
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_193836,2186,0.5430009149130832,0.04946060907266503,0.2513057427555587,0.5430009149130832,2186,0,108.12089143284575
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_194351,2333,0.47063866266609516,-0.00786892740354367,-0.21786729702877317,0.47063866266609516,2333,0,-18.358207632467384
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_194906,2252,0.5479573712255773,0.24006831760600492,0.31833820753890407,0.5479573712255773,2252,0,540.6338512487231
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_195416,1912,0.40585774058577406,-0.550608793206862,-0.23527672206036243,0.40585774058577406,1912,0,-1052.76401261152
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_195929,2133,0.5897796530707923,0.7642692221035772,0.45324105121702374,0.5897796530707923,2133,0,1630.18625074693
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_200443,2236,0.5371198568872988,0.25990561421802055,0.3171632915188738,0.5371198568872988,2236,0,581.1489533914939
raw_selected_signal,hist_gradient_boosting_dynamic_full,20260701_200954,2202,0.5199818346957311,0.3655084501508159,0.18385592254976935,0.5199818346957311,2202,0,804.8496072320966
raw_selected_signal,lightgbm_dynamic_compact,20260701_191230,1747,0.5729822552947911,0.5005035498251751,0.5009405158173941,0.5729822552947911,1747,0,874.3797015445809
raw_selected_signal,lightgbm_dynamic_compact,20260701_191745,1696,0.4946933962264151,0.2429118875086228,-0.04165652505272455,0.4946933962264151,1696,0,411.9785612146243
raw_selected_signal,lightgbm_dynamic_compact,20260701_192258,1516,0.36939313984168864,-0.6390649840073197,-0.8195247592646115,0.36939313984168864,1516,0,-968.8225157550967
raw_selected_signal,lightgbm_dynamic_compact,20260701_192811,1380,0.45072463768115945,-0.37552396619708367,-0.31768404983645304,0.45072463768115945,1380,0,-518.2230733519755
raw_selected_signal,lightgbm_dynamic_compact,20260701_193325,1547,0.4964447317388494,-0.072145723351384,-0.016790200568772562,0.4964447317388494,1547,0,-111.60943402459105
raw_selected_signal,lightgbm_dynamic_compact,20260701_193836,1579,0.5680810639645345,0.14807128833109698,0.4357974044899571,0.5680810639645345,1579,0,233.80456427480212
raw_selected_signal,lightgbm_dynamic_compact,20260701_194351,1653,0.49788263762855417,0.21022774646402692,-0.01681742082926263,0.49788263762855417,1653,0,347.5064649050365
